Chr.1	NC_056054.1
Chr.2	NC_056055.1
Chr.3	NC_056056.1
Chr.4	NC_056057.1
Chr.5	NC_056058.1
Chr.6	NC_056059.1
Chr.7	NC_056060.1
Chr.8	NC_056061.1
Chr.9	NC_056062.1
Chr.10	NC_056063.1
Chr.11	NC_056064.1
Chr.12	NC_056065.1
Chr.13	NC_056066.1
Chr.14	NC_056067.1
Chr.15	NC_056068.1
Chr.16	NC_056069.1
Chr.17	NC_056070.1
Chr.18	NC_056071.1
Chr.19	NC_056072.1
Chr.20	NC_056073.1
Chr.21	NC_056074.1
Chr.22	NC_056075.1
Chr.23	NC_056076.1
Chr.24	NC_056077.1
Chr.25	NC_056078.1
Chr.26	NC_056079.1
Chr.X	NC_056080.1
Chr.Y	NC_082741.1
Chr.MT	NC_001941.1
